Name,Lat,Lng,State
Lake Nunavaugaluk,59.2444444,-158.9,AK
Lake Aleknagik,59.3394444,-158.8019444,AK
Amanka Lake,59.1038889,-159.1988889,AK
Arhymot Lake,61.6263889,-160.3472222,AK
Aropuk Lake,61.1619444,-163.7941667,AK
Battle Lake,59.0591667,-154.9108333,AK
Becharof Lake,57.9522222,-156.3766667,AK
Lake Beverley,59.6488889,-158.6963889,AK
Birch Lake,64.315,-146.6616667,AK
Black Lake,56.4572222,-158.9858333,AK
Lake Brooks,58.5022222,-155.9186111,AK
Chandalar Lake,67.5075,-148.5125,AK
Chandler Lake,68.2286111,-152.7041667,AK
Lake Chauekuktuli,60.0583333,-158.8311111,AK
Chelatna Lake,62.4841667,-151.4577778,AK
Chignik Lake,56.2711111,-158.8525,AK
Chikuminuk Lake,60.2272222,-158.9863889,AK
Lake Clark,60.2441667,-154.2852778,AK
Copper Lake,62.4255556,-143.555,AK
Crosswind Lake,62.3555556,-146.0163889,AK
Dall Lake,60.3516667,-163.6711111,AK
Dot Lake,63.6641667,-144.0688889,AK
Ewan Lake,62.4277778,-145.7827778,AK
Feniak Lake,68.2458333,-158.32,AK
Fish Lake,62.0525,-146.5636111,AK
Fish Lake,63.4663889,-143.2844444,AK
Fish Lake,65.0666667,-151.3511111,AK
Frazer Lake,57.2583333,-154.1386111,AK
Lake George,63.7808333,-144.5338889,AK
Gibraltar Lake,59.35,-154.6811111,AK
Grant Lake,59.8102778,-158.5194444,AK
Graphite Lake,67.0619444,-143.4319444,AK
Lake Grosvenor,58.685,-155.2172222,AK
Harding Lake,64.4247222,-146.8538889,AK
Healy Lake,63.9841667,-144.7361111,AK
High Lake,59.9541667,-159.4986111,AK
Iliamna Lake,59.5366667,-155.0244444,AK
Iliuk Arm Naknek Lake,58.515,-155.5297222,AK
Imuruk Basin,65.1205556,-165.7,AK
Iniakuk Lake,67.1336111,-153.2305556,AK
Inner Lake George,61.2891667,-148.5375,AK
Jatahmund Lake,62.6238889,-142.0180556,AK
Karluk Lake,57.3655556,-154.0408333,AK
Kgun Lake,61.5486111,-163.7433333,AK
Klutina Lake,61.7227778,-145.9280556,AK
Kukaklek Lake,59.1725,-155.3666667,AK
Kulik Lake,58.9494444,-154.9422222,AK
Lake Kulik,59.7680556,-158.69,AK
Long Lake,60.1419444,-155.0486111,AK
Lake Louise,62.3313889,-146.5461111,AK
Lower Ugashik Lake,57.5191667,-156.8986111,AK
Lake Mansfield,63.4858333,-143.4061111,AK
Mentasta Lake,62.9305556,-143.7958333,AK
Lake Minchumina,63.89,-152.2358333,AK
Minto Lakes,64.8911111,-148.8102778,AK
Mother Goose Lake,57.2044444,-157.3258333,AK
Naknek Lake,58.6363889,-155.9408333,AK
Lake Nerka,59.5594444,-159.0241667,AK
Nishlik Lake,60.4658333,-158.9069444,AK
North Arm Naknek Lake,58.645,-155.7705556,AK
Norutak Lake,66.8,-154.3169444,AK
Nuigalak Lake,61.5272222,-164.6430556,AK
Nunavakanuk Lake,62.0591667,-164.6475,AK
Nunavakpak Lake,60.8002778,-162.6430556,AK
Nuyakuk Lake,59.9519444,-158.7163889,AK
Oily Lake,60.1208333,-140.6777778,AK
Old John Lake,68.075,-145.05,AK
Paxson Lake,62.9138889,-145.5327778,AK
Lake Peters,69.3183333,-145.0455556,AK
Puk Palik Lake,61.0419444,-163.2330556,AK
Reindeer Lake,62.1413889,-159.3847222,AK
Saint Anne Lake,61.8797222,-146.0413889,AK
Lake Schrader,69.3819444,-144.9972222,AK
Sevenmile Lake,63.1836111,-146.27,AK
Sikolik Lake,70.1680556,-161.4802778,AK
Sixmile Lake,63.0433333,-158.1019444,AK
Stephan Lake,62.7041667,-148.88,AK
Summit Lake,63.1297222,-145.5475,AK
Susitna Lake,62.3947222,-146.6652778,AK
Takslesluk Lake,61.0691667,-162.8683333,AK
Tanada Lake,62.4258333,-143.3716667,AK
Tazlina Lake,61.8852778,-146.4844444,AK
Teshekpuk Lake,70.5713889,-153.5141667,AK
Tetlin Lake,63.0888889,-142.7491667,AK
Tikchik Lake,59.9533333,-158.3016667,AK
Lake Todatonten,66.1533333,-152.9491667,AK
Togiak Lake,59.6338889,-159.6077778,AK
Tonsina Lake,61.4955556,-145.5308333,AK
Tundra Lake,61.2244444,-155.7311111,AK
Turquoise Lake,60.7902778,-153.9341667,AK
Lake Tusikvoak,71.0794444,-156.1244444,AK
Tutna Lake,60.3438889,-155.33,AK
Twin Lakes,60.6388889,-153.8630556,AK
Two Lakes,61.1286111,-153.7858333,AK
Upnuk Lake,60.3638889,-158.8858333,AK
Upper Lake George,61.2444444,-148.6352778,AK
Upper Ugashik Lake,57.6727778,-156.6888889,AK
Vundik Lake,67.3769444,-143.8277778,AK
Whitefish Lake,61.3744444,-159.9991667,AK
Whitefish Lake,60.9569444,-154.8869444,AK
Wien Lake,64.3536111,-151.2916667,AK
Wolf Lake,63.4575,-143.1530556,AK
Beluga Lake,61.4008333,-151.5922222,AK
Blockade Lake,60.9466667,-152.4708333,AK
Ch'akajabena Lake,61.2097222,-152.5438889,AK
Crescent Lake,60.3741667,-152.9427778,AK
Ekichuk Lake,66.9627778,-161.5505556,AK
Imuruk Lake,65.5947222,-163.1952778,AK
Inland Lake,66.4858333,-159.8730556,AK
Kenibuna Lake,61.1691667,-152.915,AK
Killeak Lakes,66.3441667,-164.0866667,AK
Krusenstern Lagoon,67.1480556,-163.6363889,AK
Nutuvukti Lake,66.9822222,-154.7202778,AK
Selawik Lake,66.4941667,-160.6908333,AK
Lake Selby,66.8747222,-155.6883333,AK
Skilak Lake,60.4163889,-150.3338889,AK
Tustumena Lake,60.2294444,-150.9411111,AK
Walker Lake,67.1266667,-154.3630556,AK
Lake Coville,58.7513889,-155.61,AK
Kakhonak Lake,59.4888889,-154.1908333,AK
Nonvianuk Lake,58.9980556,-155.4186111,AK
Telaquana Lake,60.9552778,-153.9075,AK
Ualik Lake,59.0944444,-159.4355556,AK
Nikabuna Lakes,60.0886111,-155.4258333,AK
Tebay Lakes,61.1922222,-144.2869444,AK
Bear Lake,56.0055556,-160.2352778,AK
Devil Mountain Lakes,66.3994444,-164.4866667,AK
Sandy Lake,56.1547222,-159.9508333,AK
Bering Lake,60.2869444,-144.3044444,AK
Chilkat Lake,59.3316667,-135.8966667,AK
Eek Lake,55.1772222,-132.6744444,AK
Harlequin Lake,59.4377778,-138.9425,AK
Kenai Lake,60.3922222,-149.5733333,AK
Miles Lake,60.6813889,-144.6675,AK
Tazimina Lakes,60.0333333,-154.3333333,AK
Hoodoo Lake,55.6833333,-161.05,AK
Nashak Lake,61.4333333,-164.8,AK
Lake Chicot,33.3226169,-91.278447,AR
Pala Lagoon,-14.3236111,-170.7069444,AS
Rogers Lake,35.1522337,-111.7862741,AZ
Mormon Lake,34.9475208,-111.454872,AZ
Big Lagoon,41.1742902,-124.1172931,CA
Eagle Lake,40.6448941,-120.743845,CA
Lake Earl,41.8256693,-124.1886932,CA
Goose Lake,41.9165543,-120.4344012,CA
Horse Lake,40.6612866,-120.5007821,CA
Bristol Lake,34.4622192,-115.6738827,CA
Buena Vista Lagoon,33.1730928,-117.3500384,CA
Cadiz Lake,34.2947265,-115.3955401,CA
Danby Lake,34.2305655,-115.1110889,CA
Lake Gregory,34.2466729,-117.2675432,CA
Palen Lake,33.7675188,-115.206366,CA
Salton Sea,33.3333686,-115.8341629,CA
Big Lake,41.11933,-121.4035927,CA
Clear Lake,39.0615609,-122.8272149,CA
Cow Head Lake,41.9193349,-120.0321695,CA
June Lake,37.7885416,-119.0745896,CA
Lower Klamath Lake,41.8984857,-121.6844407,CA
Lower Lake,41.2548964,-120.0471615,CA
Meiss Lake,41.8632028,-122.0675094,CA
Middle Alkali Lake,41.4748946,-120.1093863,CA
Mono Lake,38.0165908,-119.0093116,CA
Honey Lake,40.2349005,-120.3499376,CA
Tule Lake,41.9093216,-121.5330484,CA
Lake Elsinore,33.6602995,-117.3533735,CA
Soda Lake,35.2346908,-119.8931869,CA
Upper Lake,41.7415592,-120.1510592,CA
Lake John,40.7791414,-106.4686435,CO
Lake Meredith,38.1569506,-103.7407828,CO
Mansfield Hollow Lake,41.755932,-72.1811887,CT
Lake Alfred,28.0989072,-81.7414673,FL
Lake Arbuckle,27.6953078,-81.3959059,FL
Banana River,28.3061186,-80.6475524,FL
Crescent Lake,29.4571954,-81.4947952,FL
Dead Lakes,30.1876986,-85.1885271,FL
Lake Eustis,28.8463786,-81.7286878,FL
Lake Iamonia,30.6343638,-84.2221215,FL
Lake Ida,26.4822951,-80.0811536,FL
Lake Istokpoga,27.3464305,-81.2892372,FL
Lake Jackson,30.5293653,-84.3276802,FL
Lake June in Winter,27.3003221,-81.3997954,FL
Lady Lake,28.9169302,-81.8981374,FL
Lake Mangonia,26.7408972,-80.0750419,FL
Lake Marian,27.8769689,-81.1095102,FL
Lake Monroe,28.8397135,-81.2714529,FL
Orange Lake,29.4616377,-82.1737074,FL
Lake Osborne,26.5884025,-80.0783755,FL
Lake Placid,27.2497684,-81.3664615,FL
Lake Tarpon,28.1086263,-82.7242672,FL
Lake Tohopekaliga,28.2191804,-81.3878487,FL
Lake Wimico,29.8027091,-85.1482482,FL
Lake Apopka,28.6199986,-81.6292409,FL
Lake Harris,28.7774913,-81.8120229,FL
Lake Panasoffkee,28.7966545,-82.1120312,FL
Tsala Apopka Lake,28.8752609,-82.3025935,FL
Lake Weohyakapka,27.8219706,-81.410906,FL
Newnans Lake,29.6433017,-82.2192673,FL
Lake Jesup,28.7330505,-81.2072863,FL
Lake Kissimmee,27.9139115,-81.2700694,FL
Lake George,29.3060867,-81.5911863,FL
Lake Griffin,28.8424887,-81.8534133,FL
Lake Weir,29.021093,-81.9370284,FL
Blue Cypress Lake,27.7353072,-80.7533917,FL
Lake Okeechobee,26.9378346,-80.8122829,FL
Mosquito Lagoon,28.7508248,-80.7503284,FL
Indian River,28.0552946,-80.5761641,FL
Banks Lake,31.0143693,-83.1373712,GA
Halali‘i Lake,21.8563889,-160.1797222,HI
Ke‘ehi Lagoon,21.3188889,-157.9047222,HI
Kuapā Pond,21.2897222,-157.7047222,HI
Mōli‘i Pond,21.5130556,-157.8488889,HI
Salt Lake,21.3547222,-157.9088889,HI
Clear Lake,43.1255151,-93.4246508,IA
Five Island Lake,43.1499638,-94.6669243,IA
Spirit Lake,43.4771835,-95.0980504,IA
Storm Lake,42.6272026,-95.2033288,IA
West Okoboji Lake,43.3844078,-95.1594407,IA
Payette Lake,44.9540622,-116.0851245,ID
Spirit Lake,47.9410142,-116.8949201,ID
Mud Lake,42.1327087,-111.2971473,ID
Coeur d'Alene Lake,47.7087911,-116.9538074,ID
Lake Hayden,47.7646282,-116.7121349,ID
Lake Pend Oreille,48.1607557,-116.3412947,ID
Grays Lake,43.0671406,-111.4368908,ID
Lake Calumet,41.6833681,-87.5833792,IL
Channel Lake,42.4839082,-88.1392525,IL
Druce Lake,42.3680773,-88.0048006,IL
Fox Lake,42.4091873,-88.1536957,IL
Grass Lake,42.4430755,-88.1611968,IL
Horseshoe Lake,38.6994938,-90.0851066,IL
Loon Lake,42.4527978,-88.0834163,IL
Senachwine Lake,41.1686473,-89.3386997,IL
High Lake,41.8803064,-88.1792376,IL
Lake James,41.6933836,-85.0246874,IN
Tippecanoe Lake,41.3278239,-85.759711,IN
Lake Wawasee,41.4006032,-85.7022099,IN
Indian Lakes,41.5417166,-85.4166466,IN
Silver Lake,39.1013882,-95.8627646,KS
Guist Creek Lake,38.2067371,-85.1430101,KY
Lake Providence,32.8298513,-91.2159435,LA
Catahoula Lake,31.5123986,-92.1073531,LA
Cocodrie Lake,30.9704692,-92.4368013,LA
Eagle Lake,32.4929179,-90.993995,LA
Grand Lake,29.8938253,-92.7437547,LA
Sabine Lake,29.8224384,-93.9035011,LA
Lake Saint John,31.7173866,-91.4556733,LA
Lake Verret,29.8835368,-91.1667692,LA
White Lake,29.7413274,-92.5037479,LA
Little Lake,29.507162,-90.1431313,LA
Lake Saint Catherine,30.1285307,-89.7386711,LA
Calcasieu Lake,29.9002169,-93.2826535,LA
Lac des Allemands,29.9238165,-90.5775868,LA
Lake Maurepas,30.2540857,-90.4986984,LA
Lake Pontchartrain,30.1888098,-90.1014639,LA
Lake Salvador,29.7168781,-90.2500776,LA
Big Lake,45.1622945,-67.6963885,ME
Caucomgomoc Lake,46.208369,-69.5995041,ME
Chamberlain Lake,46.2230949,-69.295886,ME
Chemquasabamticook Lake,46.4972539,-69.6200603,ME
Chesuncook Lake,45.938098,-69.3225527,ME
Chiputneticook Lakes,45.6658971,-67.702785,ME
Cross Lake,47.1133739,-68.3247613,ME
Eagle Lake,46.3350368,-69.3644988,ME
Eagle Lake,47.049484,-68.5861558,ME
Fish River Lake,46.8247626,-68.7794903,ME
Grand Lake Seboeis,46.2917118,-68.6453202,ME
Great Pond,44.5378429,-69.8444954,ME
Kennebago Lake,45.0933865,-70.7259014,ME
Long Lake,44.036182,-70.656172,ME
Long Lake,47.2286516,-68.2772616,ME
Moosehead Lake,45.6439326,-69.6661681,ME
Munsungan Lake,46.3769846,-68.9983828,ME
Pemadumcook Lake,45.7047693,-68.9422661,ME
Rangeley Lake,44.9472774,-70.7014574,ME
Sebec Lake,45.279496,-69.2736576,ME
Seboeis Lake,45.4583838,-68.8858719,ME
Spednic Lake,45.6092324,-67.6183372,ME
Square Lake,47.0592073,-68.3561505,ME
Grand Lake,45.6981175,-67.8088997,ME
Black Lake,45.4666782,-84.2666864,MI
Coldwater Lake,41.8231051,-84.9755196,MI
Crystal Lake,44.6591655,-86.1564824,MI
Fife Lake,44.5677832,-85.3447797,MI
Fletcher Pond,44.9827876,-83.8427695,MI
Glen Lake,44.8719406,-85.9795359,MI
Grand Lake,45.3000147,-83.4999815,MI
Gull Lake,42.3997609,-85.4113935,MI
Gun Lake,42.6008675,-85.5219595,MI
Higgins Lake,44.4750164,-84.7166945,MI
Hubbard Lake,44.8041784,-83.5594217,MI
Lake Leelanau,44.8999996,-85.7167496,MI
Long Lake,45.2000138,-83.4833124,MI
Lake Macatawa,42.7791895,-86.1644865,MI
Manistique Lake,46.2333183,-85.7834544,MI
Lake Michigamme,46.4843815,-88.0720796,MI
Mullett Lake,45.5361221,-84.5167026,MI
